x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector"
-6.5,-6.5,9.2,0.652510529,0.610939209,0.360498707,0.61483249
-6.5,-6.5,9.3,0.635946552,0.609868903,0.404687016,0.615735666
-6.5,-6.5,9.4,0.632788891,0.602191495,0.49562851,0.633341184
-6.5,-6.5,9.5,0.634967245,0.597860167,0.56420423,0.661921378
-6.5,-6.5,9.6,0.638650116,0.601447206,0.596048147,0.677611999
-6.5,-6.5,9.7,0.642116813,0.60721848,0.602761036,0.678221616
-6.5,-6.5,9.8,0.644699551,0.609597257,0.600185176,0.669097742
-6.5,-6.5,9.9,0.645925815,0.60421938,0.599398516,0.656593918
-6.5,-6.5,10,0.645248526,0.592771018,0.610184212,0.645299335
-6.5,-6.5,10.1,0.65027366,0.590640666,0.668527132,0.635190149
-6.5,-6.5,10.2,0.66193506,0.603824302,0.719140651,0.642143211
-6.5,-6.5,10.3,0.674005331,0.614381428,0.740591393,0.664368854
-6.5,-6.5,10.4,0.68443686,0.617134124,0.729698882,0.686818088
-6.5,-6.5,10.5,0.695128398,0.614485024,0.703348218,0.702740934
-6.5,-6.5,10.6,0.705611416,0.610419568,0.667427965,0.711907322
-6.5,-6.5,10.7,0.712848561,0.611740667,0.623598123,0.71399752
-6.5,-6.5,10.8,0.716089677,0.620270095,0.582496536,0.707272125
-6.5,-6.5,10.9,0.722601199,0.626777703,0.547419575,0.695830853
-6.5,-6.5,11,0.72979122,0.624115482,0.517738898,0.680743728
-7,-7,5,0.583282367,0.586971215,0.865296504,0.567148271
-7,-7,5.1,0.585211546,0.586347504,0.849374046,0.58586729
-7,-7,5.2,0.587751786,0.595711914,0.825247182,0.605976589
-7,-7,5.3,0.594734153,0.606851388,0.794478887,0.614373217
-7,-7,5.4,0.611819017,0.610999964,0.7643329,0.595048049
-7,-7,5.5,0.638461871,0.59917908,0.742241077,0.608854233
-7,-7,5.6,0.662661388,0.598749008,0.726253909,0.682757252
-7,-7,5.7,0.681688058,0.614359506,0.706746642,0.716817479
-7,-7,5.8,0.695685935,0.627465384,0.675633972,0.726361178
-7,-7,5.9,0.704329305,0.630795453,0.630188603,0.732745997
-7,-7,6,0.708580306,0.622425794,0.571349003,0.744271986
-7,-7,6.1,0.709056983,0.609244995,0.501889492,0.753755358
-7,-7,6.2,0.705170874,0.608053956,0.418205193,0.733337338
-7,-7,6.3,0.706388426,0.62623329,0.347434298,0.7242707
-7,-7,6.4,0.72368579,0.632735892,0.39194035,0.773060269
-7,-7,6.5,0.739245579,0.630301355,0.422030882,0.79339634
-7,-7,6.6,0.748023909,0.622766671,0.431228786,0.793354497
-7,-7,6.7,0.748494414,0.619086439,0.436387902,0.783792474
-7,-7,6.8,0.741295077,0.625085476,0.453237406,0.773849565
-7,-7,6.9,0.729553576,0.636664129,0.489785087,0.766315222
-7,-7,7,0.715855708,0.643410782,0.579761838,0.735782663
-7,-7,7.1,0.727348873,0.637043719,0.716315079,0.715820462
-7,-7,7.2,0.744412854,0.633534548,0.756783192,0.730801071
-7,-7,7.3,0.755406611,0.631984139,0.768489414,0.732138217
-7,-7,7.4,0.76275839,0.634725224,0.768831681,0.72687035
-7,-7,7.5,0.76457906,0.636115907,0.759573668,0.717439352
-7,-7,7.6,0.759268584,0.631049341,0.7435189,0.705512655
-7,-7,7.7,0.747679602,0.620151854,0.728561401,0.692469414
-7,-7,7.8,0.740294972,0.610000768,0.760409083,0.657954818
-7,-7,7.9,0.752559199,0.619080481,0.783462323,0.642446354
-7,-7,8,0.75453229,0.63193995,0.768482601,0.634629809
-7,-7,8.1,0.753384595,0.639483188,0.746065261,0.62219145
