% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
6.3,9.1,0,0.708321016,0.688363124,0.221942254
6.3,9.2,0,0.69941863,0.678690754,0.206629705
6.3,9.3,0,0.689576198,0.66861402,0.227857882
6.3,9.4,0,0.683610075,0.665725386,0.244448902
6.3,9.5,0,0.667368849,0.666559504,0.254628337
6.3,9.6,0,0.642899607,0.662909906,0.25780814
6.3,9.7,0,0.620398784,0.658778967,0.260189536
6.3,9.8,0,0.604108876,0.654706101,0.263803291
6.3,9.9,0,0.594830136,0.649579412,0.268770597
6.3,10,0,0.591662429,0.643802919,0.27638761
6.3,10.1,0,0.59801243,0.640248569,0.294949981
6.3,10.2,0,0.612552862,0.646012855,0.318015531
6.3,10.3,0,0.616777892,0.647903633,0.346601305
6.3,10.4,0,0.614369518,0.643836352,0.368380561
6.3,10.5,0,0.619441783,0.643750782,0.386686342
6.3,10.6,0,0.633285288,0.646470075,0.404660462
6.3,10.7,0,0.650340901,0.646993756,0.419353888
6.3,10.8,0,0.66914068,0.644334521,0.432630411
6.3,10.9,0,0.691228842,0.647296787,0.43406833
6.3,11,0,0.712211447,0.656167039,0.427548115
6.2,9,0,0.719061583,0.697215464,0.239586325
6.2,9.1,0,0.710175046,0.690693927,0.222410548
6.2,9.2,0,0.701364243,0.682106919,0.205974571
6.2,9.3,0,0.691752293,0.672741827,0.227321685
6.2,9.4,0,0.686270076,0.668613348,0.245018162
6.2,9.5,0,0.669807592,0.669062595,0.256083199
6.2,9.6,0,0.645270354,0.665651148,0.259567236
6.2,9.7,0,0.622317393,0.661093726,0.261782651
6.2,9.8,0,0.605842993,0.656671383,0.264834848
6.2,9.9,0,0.59644724,0.651592707,0.269084575
6.2,10,0,0.593348841,0.646507483,0.276305327
6.2,10.1,0,0.600017185,0.643858314,0.293478686
6.2,10.2,0,0.614769604,0.650413899,0.315099181
6.2,10.3,0,0.618696801,0.654256836,0.342890327
6.2,10.4,0,0.615612999,0.651175294,0.364336432
6.2,10.5,0,0.620444748,0.650777534,0.382482987
6.2,10.6,0,0.634322706,0.652689618,0.400490154
6.2,10.7,0,0.651594806,0.652365753,0.415439909
6.2,10.8,0,0.67081678,0.648518715,0.429130428
6.2,10.9,0,0.693242708,0.647747838,0.430696865
6.2,11,0,0.714625455,0.655549829,0.424367014
6.1,9,0,0.721133007,0.69635767,0.240068306
6.1,9.1,0,0.712161184,0.691228921,0.22284378
6.1,9.2,0,0.703412266,0.683719987,0.205228472
6.1,9.3,0,0.69419349,0.675629847,0.22661933
6.1,9.4,0,0.689010668,0.671153395,0.245475113
6.1,9.5,0,0.672531684,0.671099621,0.257491719
6.1,9.6,0,0.647720896,0.66786066,0.261374909
6.1,9.7,0,0.624343909,0.662992009,0.263554945
6.1,9.8,0,0.607655634,0.658117301,0.266192986
6.1,9.9,0,0.598150104,0.65275235,0.269829891
6.1,10,0,0.595138689,0.647874426,0.276713692
6.1,10.1,0,0.602196494,0.646194085,0.292438591
6.1,10.2,0,0.61720646,0.653692436,0.31242165
6.1,10.3,0,0.620706258,0.659536443,0.339287651
6.1,10.4,0,0.616986469,0.658075819,0.360360039
6.1,10.5,0,0.62156262,0.658172948,0.378320553
6.1,10.6,0,0.635511079,0.660016331,0.396338921
6.1,10.7,0,0.652988933,0.659458576,0.411529581
