x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 3","Electric field norm (V/m), Boundary Probe 7","Electric field norm (V/m), Boundary Probe 8","Electric field norm (V/m), Boundary Probe 9","Electric field norm (V/m), Boundary Probe 10"
-9.5,-9.5,2.1,0.748660589,0.674286153,0.738480824,0.93786282,0.74325658,0.743256581,0.998532378,0.870097051,0.74325658,0.998532378
-9.5,-9.5,2.2,0.774089943,0.65702969,0.75757799,0.989103751,0.8094886,0.8094886,1.052883538,0.943056849,0.8094886,1.052883538
-9.5,-9.5,2.3,0.793390304,0.658705435,0.776278182,1.042663685,0.878971446,0.878971446,1.141781417,1.004149377,0.878971446,1.141781416
-9.5,-9.5,2.4,0.801407493,0.671043272,0.792822219,1.065427605,0.95310158,0.95310158,1.190477907,1.045800831,0.95310158,1.190477907
-9.5,-9.5,2.5,0.79966069,0.67471754,0.803487943,1.053055144,1.027851082,1.027851081,1.173085344,1.072659213,1.027851082,1.173085344
-9.5,-9.5,2.6,0.792559778,0.664827039,0.803708862,1.026345688,1.095088517,1.095088515,1.118944361,1.096781182,1.095088517,1.11894436
-9.5,-9.5,2.7,0.784878977,0.6464169,0.790123763,1.00109015,1.146588525,1.146588524,1.060674818,1.118384442,1.146588525,1.060674818
-9.5,-9.5,2.8,0.780905303,0.640266025,0.760462042,0.976238267,1.176235887,1.176235885,1.01338853,1.115857263,1.176235887,1.01338853
-9.5,-9.5,2.9,0.783578083,0.653394987,0.710142521,0.948174075,1.176829688,1.176829686,0.983650643,1.073899249,1.176829688,0.983650643
-9.5,-9.5,3,0.791196423,0.670653061,0.633121212,0.928291208,1.1391934,1.139193397,0.970563066,1.031043884,1.1391934,0.970563065
-9.5,-9.5,3.1,0.794923092,0.676689673,0.541659951,0.93053506,1.075228683,1.07522868,0.953247251,1.061582059,1.075228683,0.95324725
-9.5,-9.5,3.2,0.78833108,0.664192876,0.479287834,0.924664194,1.03463861,1.034638606,0.912538726,1.118386766,1.03463861,0.912538724
-9.5,-9.5,3.3,0.775201132,0.646993539,0.458249505,0.884873637,1.03629534,1.036295335,0.866270748,1.107464433,1.03629534,0.866270745
-9.5,-9.5,3.4,0.758251205,0.638561649,0.442778918,0.831461164,1.051342559,1.051342554,0.840473163,1.041551832,1.051342559,0.84047316
-9.5,-9.5,3.5,0.735855156,0.639588623,0.412541276,0.785335529,1.05388699,1.053886985,0.843615756,0.96088571,1.05388699,0.843615754
-9.5,-9.5,3.6,0.707543346,0.643717626,0.379199318,0.752726947,1.032398185,1.03239818,0.873270863,0.880764217,1.032398185,0.873270861
-9.5,-9.5,3.7,0.678480099,0.638350957,0.380438024,0.743785165,0.982659482,0.982659478,0.921969149,0.826066447,0.982659482,0.921969147
-9.5,-9.5,3.8,0.654231654,0.619464828,0.404637837,0.778204327,0.906705749,0.906705745,0.963693587,0.864110488,0.906705749,0.963693586
-9.5,-9.5,3.9,0.63374356,0.604160142,0.451762769,0.825270057,0.843387504,0.843387501,0.949795589,0.979473057,0.843387504,0.949795588
-9.5,-9.5,4,0.618567182,0.613255457,0.515651493,0.819762818,0.851679133,0.85167913,0.906683274,1.004941841,0.851679133,0.906683274
-9.5,-9.5,4.1,0.610377014,0.627352702,0.55679328,0.796590962,0.899965825,0.899965822,0.903215173,0.955078535,0.899965825,0.903215174
-9.5,-9.5,4.2,0.602123635,0.630827069,0.575227555,0.797852718,0.941034465,0.941034462,0.933428098,0.929391237,0.941034465,0.933428102
-9.5,-9.5,4.3,0.590910841,0.620061993,0.585624395,0.822168069,0.964272111,0.964272108,0.971733892,0.947290449,0.964272111,0.971733897
-9.5,-9.5,4.4,0.575624478,0.60148081,0.598528149,0.858451384,0.970020893,0.970020892,1.005285735,0.997551613,0.970020893,1.005285739
-9.5,-9.5,4.5,0.56003457,0.591587384,0.625830074,0.899005366,0.958893193,0.958893193,1.029605824,1.073055916,0.958893193,1.029605827
-9.5,-9.5,4.6,0.550948528,0.605066056,0.68988927,0.926284286,0.936269177,0.936269177,1.029300548,1.151593352,0.936269177,1.029300547
-9.5,-9.5,4.7,0.557998978,0.621275876,0.795484614,0.910534898,0.945113634,0.94511363,0.989517746,1.1457246,0.945113634,0.989517748
-9.5,-9.5,4.8,0.57324821,0.615629353,0.861818766,0.89309427,1.020259337,1.020259326,0.983414345,1.064346255,1.020259337,0.983414352
-9.5,-9.5,4.9,0.58036113,0.600658856,0.872948763,0.912082257,1.091824715,1.091824703,1.02298238,1.037309406,1.091824715,1.022982392
-9.5,-9.5,5,0.583286011,0.586970811,0.865278854,0.939348278,1.136658588,1.136658574,1.059755626,1.04468168,1.136658588,1.059755637
-9.5,-9.5,5.1,0.585215,0.586348842,0.849355406,0.96149989,1.160430216,1.160430201,1.081767532,1.056771069,1.160430216,1.081767542
-9.5,-9.5,5.2,0.587755428,0.595713942,0.825227147,0.977337224,1.164286211,1.164286194,1.092054145,1.065802577,1.164286211,1.092054153
-9.5,-9.5,5.3,0.594739011,0.606853535,0.794458106,0.978449585,1.146340782,1.146340761,1.093520528,1.053549207,1.146340782,1.093520533
-9.5,-9.5,5.4,0.611826327,0.610998553,0.76431327,0.940702136,1.109357698,1.109357672,1.078883438,0.980413533,1.109357698,1.078883443
-9.5,-9.5,5.5,0.638470436,0.599173071,0.742223436,0.890176021,1.105961629,1.105961594,1.060828964,0.883733387,1.105961629,1.060828975
-9.5,-9.5,5.6,0.662668996,0.59875154,0.726235608,0.919229707,1.161674214,1.161674172,1.079921618,0.906817386,1.161674214,1.079921632
-9.5,-9.5,5.7,0.681694361,0.614362871,0.706724019,0.947786474,1.199596881,1.199596836,1.091380324,0.94222304,1.199596881,1.091380335
-9.5,-9.5,5.8,0.695689898,0.627466708,0.675605334,0.957242046,1.213538466,1.213538419,1.084699745,0.960479193,1.213538466,1.084699751
-9.5,-9.5,5.9,0.704330601,0.630793282,0.63015409,0.958761589,1.208373407,1.20837336,1.067626074,0.972349905,1.208373407,1.067626076
-9.5,-9.5,6,0.708578634,0.622420757,0.571309311,0.95420563,1.186557073,1.186557027,1.043936125,0.973737074,1.186557073,1.043936124
-9.5,-9.5,6.1,0.709050478,0.609239297,0.501843482,0.936893244,1.149987656,1.149987612,1.012791589,0.951568754,1.149987656,1.012791585
-9.5,-9.5,6.2,0.705157477,0.608057544,0.418142249,0.911260295,1.104994993,1.104994951,0.978778096,0.929668649,1.104994993,0.978778088
-9.5,-9.5,6.3,0.706385901,0.62623328,0.347426485,0.943935317,1.113042439,1.113042391,0.999853645,1.010552916,1.113042439,0.99985364
-9.5,-9.5,6.4,0.723688673,0.632732094,0.391967449,0.983590591,1.156618233,1.156618181,1.027293055,1.064539324,1.156618233,1.027293045
-9.5,-9.5,6.5,0.739242966,0.630294733,0.422038235,0.992222497,1.177918118,1.177918063,1.02471162,1.077378663,1.177918118,1.024711603
