x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-9,-9,28.4,0.66175,0.60682,0.56135,0.44801,1.0423,1.0423,1.0025,0.99691,0.99691,1.0025
-9,-9,28.5,0.66298,0.60888,0.54386,0.44767,1.0407,1.0407,1.0027,0.9871,0.9871,1.0027
-9,-9,28.6,0.66474,0.60985,0.50299,0.44657,1.0347,1.0347,1.0045,0.98289,0.98289,1.0045
-9,-9,28.7,0.6645,0.60859,0.45991,0.44436,1.03,1.03,1.0046,0.983,0.98299,1.0046
-9,-9,28.8,0.6639,0.60705,0.42717,0.44495,1.0275,1.0275,1.0031,0.98692,0.98692,1.0031
-9,-9,28.9,0.664,0.60641,0.4097,0.44731,1.027,1.027,1.0018,0.99265,0.99265,1.0018
-9,-9,29,0.66549,0.60777,0.41257,0.45067,1.0275,1.0275,1.0016,0.99983,0.99983,1.0016
-9,-9,29.1,0.66701,0.61046,0.44163,0.45108,1.0275,1.0275,1.0021,1.0051,1.0051,1.0021
-9,-9,29.2,0.66788,0.61213,0.49795,0.44182,1.0304,1.0304,1.0008,1.0092,1.0092,1.0008
-9,-9,29.3,0.6736,0.60967,0.5271,0.43534,1.0328,1.0328,1,1.0134,1.0134,1
-9,-9,29.4,0.67713,0.60837,0.51993,0.42847,1.0315,1.0315,0.99949,1.013,1.013,0.99949
-9,-9,29.5,0.67777,0.61087,0.50392,0.42353,1.0296,1.0296,0.99841,1.0114,1.0114,0.9984
-9,-9,29.6,0.67793,0.61443,0.48859,0.42683,1.0286,1.0286,0.99766,1.0089,1.0089,0.99766
-9,-9,29.7,0.67912,0.61592,0.47565,0.43742,1.0291,1.0291,0.99759,1.0083,1.0083,0.99759
-9,-9,29.8,0.68206,0.61492,0.46834,0.45244,1.0301,1.0301,0.99851,1.0097,1.0097,0.99851
-9,-9,29.9,0.68509,0.61222,0.46422,0.46664,1.0304,1.0304,1.0008,1.0135,1.0135,1.0008
-9,-9,30,0.6902,0.60821,0.47002,0.47156,1.0318,1.0318,1.0045,1.0199,1.0199,1.0045
-9,-9,30.1,0.70045,0.60986,0.49612,0.47495,1.0309,1.0309,1.0054,1.0205,1.0205,1.0054
-9,-9,30.2,0.70682,0.61465,0.52409,0.4711,1.0297,1.0297,1.0037,1.0206,1.0206,1.0037
-9,-9,30.3,0.70939,0.61733,0.55414,0.46216,1.0291,1.0291,1.0032,1.0179,1.0179,1.0032
-9,-9,30.4,0.70988,0.61817,0.59071,0.45228,1.0298,1.0298,1.004,1.0132,1.0132,1.004
-9,-9,30.5,0.70951,0.61828,0.63139,0.4429,1.0315,1.0315,1.0053,1.0072,1.0072,1.0053
-9,-9,30.6,0.7083,0.61939,0.6684,0.43454,1.0322,1.0322,1.0066,1.0009,1.0009,1.0066
-9,-9,30.7,0.70554,0.62278,0.68203,0.42688,1.031,1.031,1.0074,0.99677,0.99677,1.0074
-9,-9,30.8,0.70547,0.62526,0.67599,0.41855,1.0317,1.0317,1.0088,0.9926,0.99259,1.0088
-9,-9,30.9,0.71056,0.62226,0.66291,0.41671,1.0344,1.0345,1.0058,0.99171,0.99171,1.0058
-9,-9,31,0.71314,0.61784,0.63296,0.4123,1.0358,1.0358,1.0045,0.99397,0.99397,1.0045
-9,-9,31.1,0.71268,0.61585,0.60868,0.40719,1.0356,1.0356,1.0071,0.99658,0.99659,1.0071
-9,-9,31.2,0.71084,0.61639,0.59898,0.40205,1.036,1.036,1.0104,1.0006,1.0006,1.0104
-9,-9,31.3,0.70847,0.61802,0.60167,0.39586,1.0373,1.0373,1.0128,1.0051,1.0051,1.0128
-9,-9,31.4,0.70518,0.61857,0.60741,0.38813,1.0381,1.0381,1.0145,1.0083,1.0083,1.0145
-9,-9,31.5,0.70008,0.61675,0.60186,0.37819,1.0383,1.0383,1.0168,1.0089,1.0089,1.0169
